name,data1,data2,data3
Karney Mungane,207,416,368
Karney Mungane,491,296,274
Karney Mungane,202,461,133
Eugene Saffin,346,435,378
Raffaello Cotesford,250,473,212
Westbrook Barme,268,575,159
Felisha Laverenz,63,588,218
Andres Stiff,426,584,194
Wileen Laville,451,570,348
Gates Bielby,425,425,267
Ursa Olech,206,508,299
Micheal Manueli,249,574,172
Ave Nelle,359,322,133
Genni Thynn,9,501,301
Kevyn Atherton,346,596,219
Erena Rattenbury,224,589,331
Chalmers Dutton,139,323,160
Jennette Ledgeway,3,314,128
Amberly Raincin,406,570,242
Luther Sidsaff,416,568,239
Dev Wealleans,431,291,262
Marcelline Welbelove,127,600,329
Anabal Rockhill,275,272,386
Ariadne Davidowich,465,298,371
Geoff Rousby,96,377,158
Carin Baudry,464,275,165
Parsifal Ortner,200,559,351
Monique Cordon,180,301,218
Ransell Ranstead,448,287,310
Stacy Simon,76,487,262
Remington Harback,491,362,164
Sylvia Mease,154,548,148
Quint McAtamney,414,282,287
Ernesto Nodin,419,492,343
Coralyn Sweetsur,185,422,127
Kirbie McIan,120,491,269
Sela Bickerdike,25,329,274
Ricardo Haddacks,50,515,216
Sibley Dungey,454,579,245
Tracy Meynell,390,428,229
Broderic Shackelton,371,527,259
Emanuel McMurraya,76,419,169
Isobel Hourigan,228,600,131
Hannis McColley,14,278,247
Averil Blick,385,378,314
Eldin Sonnenschein,339,548,352
Nicko Draysey,99,293,106
Calida Pulfer,208,565,322
Ailee Martlew,394,290,324
Fanchon Jurkiewicz,229,400,104
Alisander Digance,382,600,263
Wallas Speddin,453,600,398
Ingar Kembrey,216,354,358
Derry Comi,5,328,204
Correy Tenpenny,495,499,266
Corbie Haylands,29,350,219
Leif Joyce,346,562,154
Arvy Lindro,169,558,400
Demetris Lavies,382,322,141
Flory Maymand,254,585,292
Darnell Withnall,434,521,159
Roderich O' Concannon,221,256,392
Lombard Mazzei,199,321,395
Tad Scallan,475,317,356
Augustine Cowlas,429,334,369
Maggie Tupling,85,257,224
Seana Rennles,416,377,140
Wynn Gerram,30,570,394
Erinn Giffen,303,356,207
Keslie Khalid,61,539,116
Orly Summerrell,396,379,115
Nert Treen,342,266,162
Monro Castells,117,500,372
Hale Bonnaire,120,251,361
Arnoldo Neville,199,411,238
Albie Pulhoster,476,324,232
Elle Mouncher,29,560,279
Em Scutcheon,478,273,226
Rikki Siviour,172,541,340
Perle Cantle,397,340,303
Agna Stevani,45,339,385
Erminie Raysdale,252,475,354
Marion Bletsoe,477,372,221
Cordula Bernardelli,38,302,236
Aurelia Riddett,259,561,255
Phip Miguet,177,423,145
Nolie Dash,392,466,349
Yelena Kollasch,162,548,253
Creighton Leitche,333,343,227
Kayne Tremolieres,354,600,133
Yard McInulty,317,311,209
Cathleen McIlmurray,20,309,382
Bob MacGuigan,67,542,377
Shermie Pevsner,475,575,213
Sandi Just,157,526,351
Thorsten Deacon,16,376,109
Helge Klassman,103,343,314
Nellie Sibyllina,128,504,189
Brooke Plan,284,399,337
Othello MacDirmid,50,532,400
Barclay Winfred,497,270,107
Lib Volks,44,298,388
Burnard Cheeney,229,354,132
Nancie Runnalls,249,359,151
